date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:44	354014/354014	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Jan%202026%2008:10:44%20GMT	https://www.viatrexx.com/	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/www.viatrexx.com/index.html	(from )
01:10:44	0/0	---M--	200	added ('OK')	text/plain	date:Sat,%2031%20Jan%202026%2008:10:44%20GMT	https://www.viatrexx.com/robots.txt		(from )
01:10:45	14087/14087	---MC-	200	added ('OK')	text/css	date:Sat,%2031%20Jan%202026%2008:10:45%20GMT	https://fonts.googleapis.com/css?family=Lato:100,100i,200,200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i%7COpen%20Sans:100,100i,200,200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i%7CMontserrat:100,100i,200,200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i%7CRoboto:100,100i,200,200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i&display=swap	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/fonts.googleapis.com/css8457.css	(from https://www.viatrexx.com/)
01:10:45	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Jan%202026%2008:10:45%20GMT	https://fonts.gstatic.com/	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/fonts.gstatic.com/index.html	(from https://www.viatrexx.com/)
01:10:45	67645/67645	---M-Z	200	added ('OK')	image/png	etag:%22b35b21a20c05f6dfdbba7596c15711ee%22	https://stcdn.leadconnectorhq.com/intl-tel-input/17.0.12/img/flags.png	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/intl-tel-input/17.0.12/img/flags.png	(from https://www.viatrexx.com/)
01:10:46	425465/425465	---M-Z	200	added ('OK')	application/javascript	etag:%22493ac0379f115af57295afed3dfbeb27%22	https://stcdn.leadconnectorhq.com/_preview/BKVaNdlD.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/BKVaNdlD.js	(from https://www.viatrexx.com/)
01:10:47	837/837	---M-Z	200	added ('OK')	application/javascript	etag:%2266ed2a457c0fdd26f24e70ccca86535d%22	https://stcdn.leadconnectorhq.com/_preview/DIxQEBM-.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/DIxQEBM-.js	(from https://www.viatrexx.com/)
01:10:47	390/390	---M-Z	200	added ('OK')	application/javascript	etag:%22fb592ec99c13f955a67c1a98b8168d74%22	https://stcdn.leadconnectorhq.com/_preview/L0w3qBtp.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/L0w3qBtp.js	(from https://www.viatrexx.com/)
01:10:48	364/364	---M-Z	200	added ('OK')	application/javascript	etag:%22400a1f8e43b2b279cd0c2c6d0363935c%22	https://stcdn.leadconnectorhq.com/_preview/CP9w8AZN.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/CP9w8AZN.js	(from https://www.viatrexx.com/)
01:10:48	76159/76159	---M-Z	200	added ('OK')	application/javascript	etag:%2217c6e4024ac4e690ddeaef6564a1446a%22	https://stcdn.leadconnectorhq.com/_preview/CLl4Jynq.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/CLl4Jynq.js	(from https://www.viatrexx.com/)
01:10:49	3058/3058	---M-Z	200	added ('OK')	application/javascript	etag:%22e3bf1f53892b596f7373ee7891a11522%22	https://stcdn.leadconnectorhq.com/_preview/DiS83BvB.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/DiS83BvB.js	(from https://www.viatrexx.com/)
01:10:49	7051/7051	---M-Z	200	added ('OK')	application/javascript	etag:%220899fd415045c0e9e07b4ff81d80cf93%22	https://stcdn.leadconnectorhq.com/_preview/CErzgKqJ.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/CErzgKqJ.js	(from https://www.viatrexx.com/)
01:10:50	511/511	---M-Z	200	added ('OK')	application/javascript	etag:%2270e08a9130c91b7a084d959ae07dcfc0%22	https://stcdn.leadconnectorhq.com/_preview/B07PeIGf.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/B07PeIGf.js	(from https://www.viatrexx.com/)
01:10:51	1232/1232	---M-Z	200	added ('OK')	application/javascript	etag:%229a6f75f8bea150d8ab74854a52b3e01a%22	https://stcdn.leadconnectorhq.com/_preview/CQ_7dM8q.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/CQ_7dM8q.js	(from https://www.viatrexx.com/)
01:10:52	866/866	---M-Z	200	added ('OK')	application/javascript	etag:%224f3d7969b36af205beaac60dce625cad%22	https://stcdn.leadconnectorhq.com/_preview/B6iR5Z0F.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/B6iR5Z0F.js	(from https://www.viatrexx.com/)
01:10:52	180/180	---M-Z	200	added ('OK')	application/javascript	etag:%221183a287f6528f8685c52fad60e1fd1b%22	https://stcdn.leadconnectorhq.com/_preview/DgavzTbE.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/DgavzTbE.js	(from https://www.viatrexx.com/)
01:10:52	32638/32638	---M-Z	200	added ('OK')	application/javascript	etag:%22235dbc7a7f739281d827c25219a35da9%22	https://stcdn.leadconnectorhq.com/_preview/7FGOH8wU.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/7FGOH8wU.js	(from https://www.viatrexx.com/)
01:10:53	9191/9191	---M-Z	200	added ('OK')	application/javascript	etag:%228af5be7a4bc4e4598f21754ceee543d7%22	https://stcdn.leadconnectorhq.com/_preview/kaqkAeuE.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/kaqkAeuE.js	(from https://www.viatrexx.com/)
01:10:53	1344/1344	---M-Z	200	added ('OK')	application/javascript	etag:%2252dc76197e01465229d7de1af859e936%22	https://stcdn.leadconnectorhq.com/_preview/tUMQVBwV.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/tUMQVBwV.js	(from https://www.viatrexx.com/)
01:10:54	1082/1082	---M-Z	200	added ('OK')	application/javascript	etag:%22d679539e3131ff3c68807c31fb33c6d7%22	https://stcdn.leadconnectorhq.com/_preview/DWOS9aNN.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/DWOS9aNN.js	(from https://www.viatrexx.com/)
01:10:54	19498/19498	---M-Z	200	added ('OK')	application/javascript	etag:%225c6a761d85b88bce4e51f9dce48c5ac2%22	https://stcdn.leadconnectorhq.com/_preview/DW-3PSLe.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/DW-3PSLe.js	(from https://www.viatrexx.com/)
01:10:55	1015/1015	---M-Z	200	added ('OK')	application/javascript	etag:%22aa676895d24732596c91f50d23eab4c3%22	https://stcdn.leadconnectorhq.com/_preview/Bd5R4JIW.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/Bd5R4JIW.js	(from https://www.viatrexx.com/)
01:10:56	908/908	---M-Z	200	added ('OK')	application/javascript	etag:%2262ae04cfa1c8f18133eec10b232bf88c%22	https://stcdn.leadconnectorhq.com/_preview/9-n-tSyS.js	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/stcdn.leadconnectorhq.com/_preview/9-n-tSyS.js	(from https://www.viatrexx.com/)
01:10:56	6380/6380	---M--	200	added ('OK')	image/webp	etag:%22b4b584eb3017df64f8e922fb44ded57a%22	https://storage.googleapis.com/msgsndr/Wv6kWdgCt9mf9ZTVwPw4/media/68055cff8970b06acbf57704.webp	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/storage.googleapis.com/msgsndr/Wv6kWdgCt9mf9ZTVwPw4/media/68055cff8970b06acbf57704.webp	(from https://www.viatrexx.com/)
01:10:57	2934019/2934019	---M-Z	200	added ('OK')	text/css	etag:W/%222cc503-cyTPK4s7rX9aC3Y3NNaHIxjV1fQ%22	https://cdn.jsdelivr.net/npm/tailwindcss@2.2.19/dist/tailwind.min.css	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/cdn.jsdelivr.net/npm/tailwindcss@2.2.19/dist/tailwind.min.css	(from https://www.viatrexx.com/)
01:10:58	89220/89220	---M-Z	200	added ('OK')	text/css	etag:W/%2215c84-tRPZo5ry7hRfEsG6A/mYKWDEcCk%22	https://cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@6.0.0/css/all.min.css	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@6.0.0/css/all.min.css	(from https://www.viatrexx.com/)
01:10:58	1828/1828	---MC-	200	added ('OK')	text/css	date:Sat,%2031%20Jan%202026%2008:10:58%20GMT	https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;700&family=Montserrat:wght@400;500;600;700&display=swap	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/fonts.googleapis.com/css2ae5d.css	(from https://www.viatrexx.com/)
01:10:59	252/252	---M--	200	added ('OK')	image/png	etag:%226864014e-fc%22	https://flagcdn.com/w40/us.png	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/flagcdn.com/w40/us.png	(from https://www.viatrexx.com/)
01:11:00	328/328	---M--	200	added ('OK')	image/png	etag:%226864014e-148%22	https://flagcdn.com/w40/mx.png	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/flagcdn.com/w40/mx.png	(from https://www.viatrexx.com/)
01:11:00	286/286	---M--	200	added ('OK')	image/png	etag:%226864014e-11e%22	https://flagcdn.com/w40/ca.png	C:/Users/ToMat/Desktop/Viatrexx%20Website%20Clone/Viatrexx%20Website%20clone/flagcdn.com/w40/ca.png	(from https://www.viatrexx.com/)
